"question","answer","index","asd","ASD"
"Ticket Options","{""type"": ""AdaptiveCard"", ""$schema"": ""http://adaptivecards.io/schemas/adaptive-card.json"", ""version"": ""1.6"", ""body"": [{""type"": ""Container"", ""items"": [{""type"": ""TextBlock"", ""text"": ""Great! How do you want to travel?"", ""wrap"": true, ""horizontalAlignment"": ""Center"", ""isVisible"": true}, {""type"": ""ActionSet"", ""actions"": [{""type"": ""Action.Submit"", ""title"": ""Flight Tickets"", ""id"": ""1"", ""data"": {""UserAction"": ""Flight ticket Booking""}}, {""type"": ""Action.Submit"", ""title"": ""Train Tickets"", ""id"": ""2"", ""data"": {""UserAction"": ""Train Ticket Booking Form""}}]}]}], ""fallbackText"": ""Great! How do you want to travel?\n\n*_1. Flight Ticket_*\n*_2. Train Ticket_*""}","107","14",""
"GTS - Intro","{""type"": ""AdaptiveCard"", ""$schema"": ""http://adaptivecards.io/schemas/adaptive-card.json"", ""version"": ""1.6"", ""body"": [{""type"": ""Container"", ""items"": [{""type"": ""TextBlock"", ""text"": ""We offer the best travel experience you would need."", ""wrap"": true, ""horizontalAlignment"": ""Center""}, {""type"": ""ActionSet"", ""actions"": [{""type"": ""Action.Submit"", ""title"": ""Tickets"", ""id"": ""1"", ""data"": {""UserAction"": ""Ticket Options""}}, {""type"": ""Action.Submit"", ""title"": ""Airport Transfer"", ""id"": ""2"", ""data"": {""UserAction"": ""Airport Transfer From""}}]}, {""type"": ""ActionSet"", ""actions"": [{""type"": ""Action.Submit"", ""title"": ""Tour Packages"", ""id"": ""3"", ""data"": {""UserAction"": ""Tours""}}, {""type"": ""Action.Submit"", ""title"": ""Travel Insurance"", ""id"": ""4"", ""data"": {""UserAction"": ""Insurrance""}}]}]}], ""fallbackText"": ""**Welcome to Global Travel Solutions.**\n\nWe offer the best travel experience you would need.\n\nPlease choose one of the below options.\n\n*_1. Tickets_*\n*_2. Airport Transfer_*\n*_3. Tour Packages_*\n*_4. Travel Insurance_*\n\nPlease type *Live Chat* to chat with us.\n""}","106","11",""
"cancel the tour in the last minute ","Yes, you can do last minute cancellation. However, charges will apply.","105","35",""
"Cancel the ticket in the last minute ","Yes, you can do last minute cancellation. However, charges will apply.","105","37",""
"Last minute cancellation ","Yes, you can do last minute cancellation. However, charges will apply.","105","25",""
"Can we cancel the ticket in the last minute ","Yes, you can do last minute cancellation. However, charges will apply.","105","44",""
"Can we cancel the tours in the last minute ","Yes, you can do last minute cancellation. However, charges will apply.","105","43",""
"Can I book my preferred seat.","Yes, you can pre book your seats.","104","29",""
"Seat preference ","Yes, you can pre book your seats.","104","16",""
"Book a seat","Yes, you can pre book your seats.","104","11",""
"Can we pre book a seat","Yes, you can pre book your seats.","104","22",""
"Airport suttle ","{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.3"",""body"":[{""type"":""Container"",""items"":[{""type"":""TextBlock"",""text"":""Our airport transfer services make sure our customers have a stellar experience from the moment they land. "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please fill out the below form. "",""wrap"":true},{""type"":""ColumnSet"",""columns"":[{""type"":""Column"",""width"":""stretch"",""items"":[{""type"":""TextBlock"",""text"":""Trip"",""wrap"":true}]},{""type"":""Column"",""width"":""stretch"",""items"":[{""type"":""Input.ChoiceSet"",""choices"":[{""title"":""One Way"",""value"":""One Way""},{""title"":""Round Trip"",""value"":""Round Trip""}],""placeholder"":""Trip"",""id"":""Trip""}]}]},{""type"":""ActionSet"",""actions"":[{""type"":""Action.Submit"",""title"":""Submit"",""id"":""2"",""data"":{""UserAction"":""Pick Up Location""}}]}]}],""fallbackText"":""Our airport transfer services make sure our customers have a stellar experience from the moment they land.  \n\nPlease type one of the below options \n\n*_Oneway Trip_*\n*_Round Trip_*"",""id"":""TripCard_Airport Transfer Form""}","103","15",""
"Airport Transfer From","{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.3"",""body"":[{""type"":""Container"",""items"":[{""type"":""TextBlock"",""text"":""Our airport transfer services make sure our customers have a stellar experience from the moment they land. "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please fill out the below form. "",""wrap"":true},{""type"":""ColumnSet"",""columns"":[{""type"":""Column"",""width"":""stretch"",""items"":[{""type"":""TextBlock"",""text"":""Trip"",""wrap"":true}]},{""type"":""Column"",""width"":""stretch"",""items"":[{""type"":""Input.ChoiceSet"",""choices"":[{""title"":""One Way"",""value"":""One Way""},{""title"":""Round Trip"",""value"":""Round Trip""}],""placeholder"":""Trip"",""id"":""Trip""}]}]},{""type"":""ActionSet"",""actions"":[{""type"":""Action.Submit"",""title"":""Submit"",""id"":""2"",""data"":{""UserAction"":""Pick Up Location""}}]}]}],""fallbackText"":""Our airport transfer services make sure our customers have a stellar experience from the moment they land.  \n\nPlease type one of the below options \n\n*_Oneway Trip_*\n*_Round Trip_*"",""id"":""TripCard_Airport Transfer Form""}","102","21",""
